selected_oewn_synset	surface	surface_key	mean_frequency	max_frequency	nonzero_years	year_start	year_end	corpus	smoothing	case_insensitive	query_url	status
oewn-00007846-n	individual	individual	0.000203715776079	0.000233666624697	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00007846-n	person	person	0.000272628036537	0.000293207979529	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00007846-n	somebody	somebody	1.99848722074e-05	2.50542697206e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00007846-n	someone	someone	0.000137123281479	0.000187005613314	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00015568-n	animal	animal	6.31806091807e-05	6.78675165483e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00015568-n	beast	beast	1.15350708052e-05	2.19930192937e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00015568-n	creature	creature	1.66687299933e-05	2.60631821198e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00015568-n	fauna	fauna	3.6014641331e-06	5.58597141763e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00031563-n	group	group	0.000327376919039	0.000375114130516	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00031563-n	grouping	grouping	5.51572054269e-06	6.74396160044e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00043495-n	departure	departure	1.63081014195e-05	1.74607208061e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00043495-n	going	going	0.000336499065912	0.000465766223166	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
